layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.attention.self.query,0.8520642201834863,0.001623941878445736,-0.0011467889908257645,
bert.encoder.layer.2.attention.self.key,0.8520642201834863,0.0016602808646652143,-0.0011467889908257645,
bert.encoder.layer.3.attention.self.query,0.8520642201834863,0.0016561978256938404,-0.0011467889908257645,
bert.encoder.layer.3.attention.self.key,0.8520642201834863,0.001666169365816707,-0.0011467889908257645,
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.0016392201582633905,0.0,
bert.encoder.layer.2.intermediate.dense,0.8497706422018348,0.005859044750007868,0.0011467889908256534,
bert.encoder.layer.0.attention.self.value,0.8486238532110092,0.0016188453956359759,0.002293577981651307,
classifier,0.8486238532110092,0.00034049244380877523,0.002293577981651307,
bert.encoder.layer.0.attention.self.query,0.8474770642201835,0.001616771136468742,0.0034403669724769603,
bert.encoder.layer.0.intermediate.dense,0.8463302752293578,0.005825818728217951,0.004587155963302725,
bert.encoder.layer.1.output.dense,0.8451834862385321,0.005814322475915339,0.005733944954128378,
bert.encoder.layer.4.intermediate.dense,0.8440366972477065,0.0058648660114650995,0.006880733944954032,
