layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.attention.output.dense,0.8520642201834863,0.001646690613539049,-0.0011467889908257645,
bert.encoder.layer.3.attention.self.query,0.8520642201834863,0.0016663504323441217,-0.0011467889908257645,
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.0016281262442552102,0.0,
classifier,0.8509174311926605,0.00034146010321661096,0.0,
bert.encoder.layer.1.attention.self.query,0.8497706422018348,0.0016431561215615664,0.0011467889908256534,
bert.encoder.layer.3.attention.self.key,0.8497706422018348,0.001678636629590866,0.0011467889908256534,
bert.encoder.layer.0.attention.self.query,0.8486238532110092,0.0016396784621557604,0.002293577981651307,
bert.encoder.layer.1.output.dense,0.8486238532110092,0.005818956513761504,0.002293577981651307,
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.005864868559635622,0.002293577981651307,
bert.encoder.layer.4.intermediate.dense,0.8486238532110092,0.005884119813078016,0.002293577981651307,
bert.encoder.layer.0.intermediate.dense,0.8474770642201835,0.005833043809633044,0.0034403669724769603,
bert.encoder.layer.2.attention.self.key,0.8474770642201835,0.0016474152637725437,0.0034403669724769603,
