layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.output.dense,0.8520642201834863,0.0057959363795750144,-0.0011467889908257645,
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.0016079739300473251,0.0,
bert.encoder.layer.2.attention.self.key,0.8509174311926605,0.0016305755997806095,0.0,
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0016484076341681147,0.0,
classifier,0.8509174311926605,0.00032234568922639474,0.0,
bert.encoder.layer.0.attention.self.query,0.8497706422018348,0.0016021465252287347,0.0011467889908256534,
bert.encoder.layer.1.attention.self.query,0.8497706422018348,0.0016214915435697665,0.0011467889908256534,
bert.encoder.layer.1.attention.output.dense,0.8497706422018348,0.0016196075045852654,0.0011467889908256534,
bert.encoder.layer.0.intermediate.dense,0.8486238532110092,0.005794565944948154,0.002293577981651307,
bert.encoder.layer.3.attention.self.key,0.8474770642201835,0.0016545156238428659,0.0034403669724769603,
bert.encoder.layer.2.intermediate.dense,0.8463302752293578,0.005832371752290749,0.004587155963302725,
bert.encoder.layer.4.intermediate.dense,0.8440366972477065,0.005856077833722747,0.006880733944954032,
