layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.3.attention.self.key,0.8520642201834863,0.002895786422021781,-0.0011467889908257645,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0028653933096318206,0.0,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8509174311926605,0.0029023350000005254,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.002898515071104432,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8497706422018348,0.0028855915561924773,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8486238532110092,0.00284140820412001,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8486238532110092,0.002831137435784571,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.010628988778672807,0.002293577981651307,"2,2,2,2"
classifier,0.8486238532110092,0.0003474796066499089,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8463302752293578,0.010579546598619177,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.1.output.dense,0.8463302752293578,0.010656046199541162,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8451834862385321,0.010652983395646833,0.005733944954128378,"2,2,2,2"
