layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.output.dense,0.8520642201834863,0.010670920642200429,-0.0011467889908257645,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0028774222775292744,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.0028818066146897863,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0029007517534426685,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.0028927920068890006,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.00036136883371651123,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8497706422018348,0.002845216383028764,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.010619921587163812,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8486238532110092,0.010661298050446364,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8474770642201835,0.00285238757454646,0.0034403669724769603,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8463302752293578,0.01058250986811424,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8451834862385321,0.0028849305607755765,0.005733944954128378,"2,2,2,2"
