layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.output.dense,0.8543577981651376,0.010629167951832509,-0.0034403669724770714,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.0028521847672073742,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0028677053256999006,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.0003358228921970628,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8497706422018348,0.002818090425459951,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8497706422018348,0.0028269758245479445,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8497706422018348,0.010561960097479098,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8497706422018348,0.002831896036687636,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8497706422018348,0.0028686631960911013,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8474770642201835,0.010624906700678541,0.0034403669724769603,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8463302752293578,0.0028725451960981614,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8451834862385321,0.010583301332565355,0.005733944954128378,"2,2,2,2"
