layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.0.attention.self.query,0.8509174311926605,0.0028190237316508553,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.0028185488543452627,0.0,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8509174311926605,0.010551159631886381,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0028347308818761413,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.00283972830849728,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.002876059337155445,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.0028663462499943465,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.00034391526261986973,0.0,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8497706422018348,0.0028618995917369847,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8497706422018348,0.010619691152529713,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.1.output.dense,0.8486238532110092,0.01064324959405135,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8463302752293578,0.010604450920880549,0.004587155963302725,"2,2,2,2"
