layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.3.attention.self.key,0.8520642201834863,0.002873788295859613,-0.0011467889908257645,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0028540340344071252,0.0,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8509174311926605,0.0028535288153736906,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.002863775561934811,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8497706422018348,0.0028929959724737606,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8486238532110092,0.0028444263990848313,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8486238532110092,0.0028448911204051928,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.010591388430054954,0.002293577981651307,"2,2,2,2"
classifier,0.8486238532110092,0.000346228439219877,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8463302752293578,0.010570920722475922,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.1.output.dense,0.8463302752293578,0.010639131377293453,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8451834862385321,0.010612686412844036,0.005733944954128378,"2,2,2,2"
