layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.0.attention.self.query,0.8509174311926605,0.0027860387912903347,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.002810403394497212,0.0,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8509174311926605,0.010548063917417286,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.002821610745407295,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.0028359674759135195,0.0,"2,2,2,2"
bert.encoder.layer.1.output.dense,0.8509174311926605,0.010587164361230519,0.0,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8509174311926605,0.0028175220550361,0.0,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8509174311926605,0.010558583120405066,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0028271887316504694,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.00283294618349344,0.0,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8509174311926605,0.010577063438076864,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.0003150763188069846,0.0,"2,2,2,2"
