layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.1.output.dense,0.8543577981651376,0.01062325100228751,-0.0034403669724770714,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.002832239698389024,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.002868828340603755,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.0005937804495310999,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.query,0.8497706422018348,0.002809503321092519,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8497706422018348,0.0028159305217966635,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8497706422018348,0.010554448377294039,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8497706422018348,0.002832307061924756,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8497706422018348,0.0028534570539054042,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8474770642201835,0.010617377806179612,0.0034403669724769603,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8463302752293578,0.0028685948050432997,0.004587155963302725,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8451834862385321,0.010593879432327338,0.005733944954128378,"2,2,2,2"
