layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.0.attention.self.query,0.8509174311926605,0.0028218863291273144,0.0,"2,2,2,2"
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.0028326081467914947,0.0,"2,2,2,2"
bert.encoder.layer.0.intermediate.dense,0.8509174311926605,0.01057460012958439,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.002877634236237425,0.0,"2,2,2,2"
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.0028665751938080925,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0028991523566452887,0.0,"2,2,2,2"
bert.encoder.layer.3.attention.self.key,0.8509174311926605,0.0028939255126223286,0.0,"2,2,2,2"
classifier,0.8509174311926605,0.00034350973395152773,0.0,"2,2,2,2"
bert.encoder.layer.2.attention.self.key,0.8497706422018348,0.0028683191582427304,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.4.intermediate.dense,0.8497706422018348,0.010625481414001882,0.0011467889908256534,"2,2,2,2"
bert.encoder.layer.1.output.dense,0.8486238532110092,0.010645384375001154,0.002293577981651307,"2,2,2,2"
bert.encoder.layer.2.intermediate.dense,0.8463302752293578,0.01060123536583245,0.004587155963302725,"2,2,2,2"
