layer,acc,latency,accuracy_drop,region_levels
bert.encoder.layer.3.attention.self.key,0.8520642201834863,0.001649162903667183,-0.0011467889908257645,
bert.encoder.layer.0.attention.self.query,0.8509174311926605,0.0016085683061955432,0.0,
bert.encoder.layer.0.attention.self.value,0.8509174311926605,0.001609750657117821,0.0,
bert.encoder.layer.1.attention.self.query,0.8509174311926605,0.0016291482385453276,0.0,
bert.encoder.layer.1.attention.output.dense,0.8509174311926605,0.001643550495419239,0.0,
bert.encoder.layer.3.attention.self.query,0.8509174311926605,0.0016423744059758155,0.0,
classifier,0.8509174311926605,0.00031858859633465637,0.0,
bert.encoder.layer.2.attention.self.key,0.8497706422018348,0.001647504618122518,0.0011467889908256534,
bert.encoder.layer.4.intermediate.dense,0.8497706422018348,0.0058539543004522,0.0011467889908256534,
bert.encoder.layer.0.intermediate.dense,0.8486238532110092,0.00580307286123704,0.002293577981651307,
bert.encoder.layer.1.output.dense,0.8486238532110092,0.005820051776360718,0.002293577981651307,
bert.encoder.layer.2.intermediate.dense,0.8486238532110092,0.005838883041287105,0.002293577981651307,
