layer,acc,latency,accuracy_drop,region_levels
backbone.feature_projection.projection,0.7436254056560037,0.0218660399309187,-0.00037088548910524377,
backbone.encoder.layers.0.attention.out_proj,0.7434399629114512,0.031266142050992284,-0.00018544274455278842,
backbone.encoder.layers.1.attention.q_proj,0.7434399629114512,0.03125413836254278,-0.00018544274455278842,
backbone.encoder.layers.2.attention.k_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.2.feed_forward.output_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.3.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.4.attention.q_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.5.attention.v_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.6.attention.k_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.6.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.9.attention.v_proj,0.0,inf,0.7432545201668984,
head.5,0.0,inf,0.7432545201668984,
