layer,acc,latency,accuracy_drop,region_levels
backbone.encoder.layers.1.attention.q_proj,0.7432545201668984,0.03126106092675397,0.0,
backbone.encoder.layers.0.attention.out_proj,0.7426054705609643,0.03129132348585682,0.0006490496059341488,
backbone.feature_projection.projection,0.742512749188688,0.02189630637273834,0.0007417709782103765,
backbone.encoder.layers.2.attention.k_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.2.feed_forward.output_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.3.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.4.attention.q_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.5.attention.v_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.6.attention.k_proj,0.0,inf,0.7432545201668984,
backbone.encoder.layers.6.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,
backbone.encoder.layers.9.attention.v_proj,0.0,inf,0.7432545201668984,
head.5,0.0,inf,0.7432545201668984,
