layer,acc,latency,accuracy_drop,region_levels
backbone.feature_projection.projection,0.7434399629114509,0.038638380893373236,-0.00018544274455245535,"2,2,2,2"
backbone.encoder.layers.0.attention.out_proj,0.7431617987946223,0.056402159076953985,9.272137227611665e-05,"2,2,2,2"
backbone.encoder.layers.1.attention.q_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.2.attention.k_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.2.feed_forward.output_dense,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.3.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.4.attention.q_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.5.attention.v_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.6.attention.k_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.6.feed_forward.intermediate_dense,0.0,inf,0.7432545201668984,"2,2,2,2"
backbone.encoder.layers.9.attention.v_proj,0.0,inf,0.7432545201668984,"2,2,2,2"
head.5,0.0,inf,0.7432545201668984,"2,2,2,2"
