Design,Level,Status,Total_Tests,PASS,FAIL,Mean_Error_Pct
ACBAM,L0,PASS,256,256,0,0.000000
ACBAM,L1,PASS,256,256,0,0.000000
ACBAM,L2,PASS,256,256,0,0.000000
ACBAM,L3,PASS,256,256,0,0.000000
ACBAM,L4,PASS,256,256,0,0.000000
ACBAM,L5,PASS,256,256,0,0.000000
FPLNS,L0,PASS,256,256,0,0.000000
FPLNS,L1,PASS,256,256,0,0.000000
FPLNS,L2,PASS,256,256,0,0.000000
FPLNS,L3,PASS,256,256,0,0.000000
FPLNS,L4,PASS,256,256,0,0.000000
FPLNS,L5,PASS,256,256,0,0.000000
OPACT,L0,PASS,256,256,0,0.000000
OPACT,L1,PASS,256,256,0,0.000000
OPACT,L2,PASS,256,256,0,0.000000
OPACT,L3,PASS,256,256,0,0.000000
OPACT,L4,PASS,256,256,0,0.000000
OPACT,L5,PASS,256,256,0,0.000000
scaleTRIM,L0,PASS,256,256,0,0.000000
scaleTRIM,L1,PASS,256,256,0,0.000000
scaleTRIM,L2,PASS,256,256,0,0.000000
scaleTRIM,L3,PASS,256,256,0,0.000000
scaleTRIM,L4,PASS,256,256,0,0.000000
scaleTRIM,L5,PASS,256,256,0,0.000000
