Design,Level,Status,Total_Tests,PASS,FAIL,Mean_Error_Pct
ACBAM,L0,PASS,65536,65536,0,0.701066
ACBAM,L1,PASS,65536,65536,0,0.747054
ACBAM,L2,PASS,65536,65536,0,4.974998
ACBAM,L3,PASS,65536,65536,0,5.717384
ACBAM,L4,PASS,65536,65536,0,18.147768
ACBAM,L5,PASS,65536,65536,0,29.537325
FPLNS,L0,PASS,65536,65536,0,4.117771
FPLNS,L1,PASS,65536,65536,0,3.416155
FPLNS,L2,PASS,65536,65536,0,7.488552
FPLNS,L3,PASS,65536,65536,0,4.117771
FPLNS,L4,PASS,65536,65536,0,6.122811
FPLNS,L5,PASS,65536,65536,0,16.506724
OPACT,L0,PASS,65536,65536,0,5.110063
OPACT,L1,PASS,65536,65536,0,5.387158
OPACT,L2,PASS,65536,65536,0,7.603375
OPACT,L3,PASS,65536,65536,0,11.681381
OPACT,L4,PASS,65536,65536,0,14.775799
OPACT,L5,PASS,65536,65536,0,14.775799
scaleTRIM,L0,PASS,65536,65536,0,13.085654
scaleTRIM,L1,PASS,65536,65536,0,13.913634
scaleTRIM,L2,PASS,65536,65536,0,7.135781
scaleTRIM,L3,PASS,65536,65536,0,14.714346
scaleTRIM,L4,PASS,65536,65536,0,39.252591
scaleTRIM,L5,PASS,65536,65536,0,131.987928
