Design,Level,Status,Total_Tests,PASS,FAIL,Mean_Error_Pct
ACBAM,L0,PASS,65536,65536,0,0.000000
ACBAM,L1,PASS,65536,65536,0,0.212105
ACBAM,L2,PASS,65536,65536,0,4.825753
ACBAM,L3,PASS,65536,65536,0,5.717384
ACBAM,L4,PASS,65536,65536,0,18.147768
ACBAM,L5,PASS,65536,65536,0,29.537325
FPLNS,L0,PASS,65536,65536,0,3.670566
FPLNS,L1,PASS,65536,65536,0,3.086301
FPLNS,L2,PASS,65536,65536,0,7.240011
FPLNS,L3,PASS,65536,65536,0,3.670566
FPLNS,L4,PASS,65536,65536,0,5.722899
FPLNS,L5,PASS,65536,65536,0,16.233628
OPACT,L0,PASS,65536,65536,0,4.612878
OPACT,L1,PASS,65536,65536,0,4.964510
OPACT,L2,PASS,65536,65536,0,7.208442
OPACT,L3,PASS,65536,65536,0,11.289273
OPACT,L4,PASS,65536,65536,0,14.383752
OPACT,L5,PASS,65536,65536,0,14.383752
scaleTRIM,L0,PASS,65536,65536,0,12.882777
scaleTRIM,L1,PASS,65536,65536,0,13.722244
scaleTRIM,L2,PASS,65536,65536,0,6.913626
scaleTRIM,L3,PASS,65536,65536,0,14.580717
scaleTRIM,L4,PASS,65536,65536,0,39.224774
scaleTRIM,L5,PASS,65536,65536,0,132.020916
