Design,Level,Status,Total_Tests,PASS,FAIL,Mean_Error_Pct
ACBAM,L0,PASS,65536,65536,0,0.000000
ACBAM,L1,PASS,65536,65536,0,0.066339
ACBAM,L2,PASS,65536,65536,0,2.623267
ACBAM,L3,PASS,65536,65536,0,2.913185
ACBAM,L4,PASS,65536,65536,0,9.591326
ACBAM,L5,PASS,65536,65536,0,13.379987
FPLNS,L0,PASS,65536,65536,0,3.758294
FPLNS,L1,PASS,65536,65536,0,3.093499
FPLNS,L2,PASS,65536,65536,0,7.409761
FPLNS,L3,PASS,65536,65536,0,4.017344
FPLNS,L4,PASS,65536,65536,0,6.567742
FPLNS,L5,PASS,65536,65536,0,17.442140
OPACT,L0,PASS,65536,65536,0,5.316133
OPACT,L1,PASS,65536,65536,0,5.399865
OPACT,L2,PASS,65536,65536,0,6.058493
OPACT,L3,PASS,65536,65536,0,8.251056
OPACT,L4,PASS,65536,65536,0,12.291843
OPACT,L5,PASS,65536,65536,0,15.369670
scaleTRIM,L0,PASS,65536,65536,0,12.702621
scaleTRIM,L1,PASS,65536,65536,0,13.272958
scaleTRIM,L2,PASS,65536,65536,0,6.372469
scaleTRIM,L3,PASS,65536,65536,0,13.401699
scaleTRIM,L4,PASS,65536,65536,0,37.065340
scaleTRIM,L5,PASS,65536,65536,0,113.273250
