Design,DataType,Level,Status,Total_Tests,PASS,FAIL,Mean_Error_Pct
ACBAM,Fixed_point,L0,PASS,65536,65536,0,0.701066
ACBAM,Fixed_point,L1,PASS,65536,65536,0,0.747054
ACBAM,Fixed_point,L2,PASS,65536,65536,0,4.974998
ACBAM,Fixed_point,L3,PASS,65536,65536,0,5.717384
ACBAM,Fixed_point,L4,PASS,65536,65536,0,18.147768
ACBAM,Fixed_point,L5,PASS,65536,65536,0,29.537325
ACBAM,Floating_point,L0,PASS,256,256,0,0.000000
ACBAM,Floating_point,L1,PASS,256,256,0,0.000000
ACBAM,Floating_point,L2,PASS,256,256,0,0.000000
ACBAM,Floating_point,L3,PASS,256,256,0,0.000000
ACBAM,Floating_point,L4,PASS,256,256,0,0.000000
ACBAM,Floating_point,L5,PASS,256,256,0,0.000000
ACBAM,Signed_int,L0,PASS,65536,65536,0,0.000000
ACBAM,Signed_int,L1,PASS,65536,65536,0,0.212105
ACBAM,Signed_int,L2,PASS,65536,65536,0,4.825753
ACBAM,Signed_int,L3,PASS,65536,65536,0,5.717384
ACBAM,Signed_int,L4,PASS,65536,65536,0,18.147768
ACBAM,Signed_int,L5,PASS,65536,65536,0,29.537325
ACBAM,Unsigned_int,L0,PASS,65536,65536,0,0.000000
ACBAM,Unsigned_int,L1,PASS,65536,65536,0,0.066339
ACBAM,Unsigned_int,L2,PASS,65536,65536,0,2.623267
ACBAM,Unsigned_int,L3,PASS,65536,65536,0,2.913185
ACBAM,Unsigned_int,L4,PASS,65536,65536,0,9.591326
ACBAM,Unsigned_int,L5,PASS,65536,65536,0,13.379987
FPLNS,Fixed_point,L0,PASS,65536,65536,0,4.117771
FPLNS,Fixed_point,L1,PASS,65536,65536,0,3.416155
FPLNS,Fixed_point,L2,PASS,65536,65536,0,7.488552
FPLNS,Fixed_point,L3,PASS,65536,65536,0,4.117771
FPLNS,Fixed_point,L4,PASS,65536,65536,0,6.122811
FPLNS,Fixed_point,L5,PASS,65536,65536,0,16.506724
FPLNS,Floating_point,L0,PASS,256,256,0,0.000000
FPLNS,Floating_point,L1,PASS,256,256,0,0.000000
FPLNS,Floating_point,L2,PASS,256,256,0,0.000000
FPLNS,Floating_point,L3,PASS,256,256,0,0.000000
FPLNS,Floating_point,L4,PASS,256,256,0,0.000000
FPLNS,Floating_point,L5,PASS,256,256,0,0.000000
