All Designs
Family,Module Name,Level,Design Raw,Design Label,Stage,Total Area,Cell Area,Net Area,Cell Count,Leaf Instances,Total Instances,Leakage Power,Internal Power,Switching Power,Total Power,Slack,Path Delay,Operational Frequency
-,-,-,-,-,-,um^2,um^2,um^2,count,count,count,W,W,W,W,ps,ps,GHz
Fixed Point,fixed_point_mul_p_0_L0,L0,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.54414e-07,0.00371145,0.00517275,0.00888456,-508,1058,0.6631299734748011
Fixed Point,fixed_point_mul_p_1_L0,L0,p_1,p1,opt,7183.999,5388.21,1795.789,1586,1586,1586,4.50681e-07,0.00439607,0.00599487,0.0103914,-617,1167,0.6184291898577613
Fixed Point,fixed_point_mul_p_2_L0,L0,p_2,p2,opt,3218.696,2170.674,1048.022,804,804,804,1.42092e-07,0.000656236,0.000531691,0.00118807,0,727,1.0
Fixed Point,fixed_point_mul_p_0_L1,L1,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.55484e-07,0.00458641,0.00629957,0.0108863,-508,1058,0.6631299734748011
Fixed Point,fixed_point_mul_p_1_L1,L1,p_1,p1,opt,7183.999,5388.21,1795.789,1586,1586,1586,4.50199e-07,0.00516951,0.00692235,0.0120923,-617,1167,0.6184291898577613
Fixed Point,fixed_point_mul_p_2_L1,L1,p_2,p2,opt,3218.696,2170.674,1048.022,804,804,804,1.42173e-07,0.000664583,0.000541782,0.00120651,0,727,1.0
Fixed Point,fixed_point_mul_p_0_L2,L2,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.55231e-07,0.00487846,0.00664023,0.011519,-508,1058,0.6631299734748011
Fixed Point,fixed_point_mul_p_1_L2,L2,p_1,p1,opt,7183.999,5388.21,1795.789,1586,1586,1586,4.47547e-07,0.00609694,0.00810991,0.0142073,-617,1167,0.6184291898577613
Fixed Point,fixed_point_mul_p_2_L2,L2,p_2,p2,opt,3218.696,2170.674,1048.022,804,804,804,1.42088e-07,0.000688873,0.000563408,0.00125242,0,727,1.0
Fixed Point,fixed_point_mul_p_0_L3,L3,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.55652e-07,0.00498116,0.00676917,0.0117507,-508,1058,0.6631299734748011
Fixed Point,fixed_point_mul_p_0_L4,L4,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.55565e-07,0.00507038,0.00688599,0.0119567,-508,1058,0.6631299734748011
Fixed Point,fixed_point_mul_p_0_L5,L5,p_0,[1],opt,5715.95,4274.658,1441.292,1287,1287,1287,3.55701e-07,0.00509435,0.00691915,0.0120139,-508,1058,0.6631299734748011
Floating Point,floating_point_mul_p_0_L0,L0,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.0608e-07,0.000975333,0.00141678,0.00239262,-378,928,0.7256894049346879
Floating Point,floating_point_mul_p_1_L0,L0,p_1,p1,opt,13985.31,10239.138,3746.172,3277,3277,3277,8.27125e-07,0.00169053,0.00234377,0.00403513,-462,1012,0.6839945280437757
Floating Point,floating_point_mul_p_2_L0,L0,p_2,p2,opt,8267.603,5564.682,2702.921,2281,2281,2281,3.89493e-07,0.00292709,0.00358768,0.00651515,0,936,1.0
Floating Point,floating_point_mul_p_0_L1,L1,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.09135e-07,0.00116818,0.00168052,0.00284922,-378,928,0.7256894049346879
Floating Point,floating_point_mul_p_1_L1,L1,p_1,p1,opt,13985.31,10239.138,3746.172,3277,3277,3277,8.28895e-07,0.00182567,0.00254161,0.0043681,-462,1012,0.6839945280437757
Floating Point,floating_point_mul_p_2_L1,L1,p_2,p2,opt,8267.603,5564.682,2702.921,2281,2281,2281,3.896e-07,0.00293407,0.00358986,0.00652432,0,936,1.0
Floating Point,floating_point_mul_p_0_L2,L2,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.07393e-07,0.00131692,0.00189407,0.0032115,-378,928,0.7256894049346879
Floating Point,floating_point_mul_p_1_L2,L2,p_1,p1,opt,13985.31,10239.138,3746.172,3277,3277,3277,8.25838e-07,0.00197827,0.00274482,0.00472392,-462,1012,0.6839945280437757
Floating Point,floating_point_mul_p_2_L2,L2,p_2,p2,opt,8267.603,5564.682,2702.921,2281,2281,2281,3.89491e-07,0.0030404,0.00372039,0.00676118,0,936,1.0
Floating Point,floating_point_mul_p_0_L3,L3,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.08007e-07,0.00139325,0.00199819,0.00339195,-378,928,0.7256894049346879
Floating Point,floating_point_mul_p_0_L4,L4,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.06477e-07,0.00152343,0.00218167,0.00370561,-378,928,0.7256894049346879
Floating Point,floating_point_mul_p_0_L5,L5,p_0,[1],opt,9078.802,6457.302,2621.5,2247,2247,2247,5.06807e-07,0.00155792,0.00223285,0.00379127,-378,928,0.7256894049346879
Signed Integer,signed_int_mul_p_0_L0,L0,p_0,[1],opt,5054.44,3755.502,1298.938,1145,1145,1145,3.05746e-07,0.00482343,0.00671366,0.0115374,-524,1074,0.6561679790026247
Signed Integer,signed_int_mul_p_1_L0,L0,p_1,p1,opt,7449.896,5620.428,1829.468,1628,1628,1628,4.70147e-07,0.00757578,0.0101352,0.0177115,-605,1155,0.6230529595015576
Signed Integer,signed_int_mul_p_2_L0,L0,p_2,p2,opt,3221.187,2166.228,1054.959,808,808,808,1.41797e-07,0.000600532,0.000458225,0.0010589,0,727,1.0
Signed Integer,signed_int_mul_p_0_L1,L1,p_0,[1],opt,5054.44,3755.502,1298.938,1145,1145,1145,3.06245e-07,0.00551037,0.00757519,0.0130859,-524,1074,0.6561679790026247
Signed Integer,signed_int_mul_p_1_L1,L1,p_1,p1,opt,7449.896,5620.428,1829.468,1628,1628,1628,4.6944e-07,0.00894841,0.0118544,0.0208033,-605,1155,0.6230529595015576
